Store_id,Store_Name,Biz_Name,Address,City,Province,Postal Code,Latitude,Longitude,Rating,Types
23454022,Urban-Decay-Ottawa,Sephora,181 Greenbank Road,Ottawa,Ontario,K2H 5V6,45.3281927,-75.779573,3.8,"clothing_store, store, point_of_interest, establishment"
23454010,Urban-Decay-Laval,Sephora,3035 Le Careefour Blvd,Laval,Quebec,H7T 1C8,45.5684805,-73.7497193,3.8,"clothing_store, store, health, point_of_interest, establishment"
23454016,Urban-Decay-Saskatoon,SEPHORA,201 1 Avenue South,Saskatoon,Saskatchewan,S7K 1J9,52.1275159,-106.6676245,3.9,"clothing_store, store, health, point_of_interest, establishment"
840657,"Cinnabon-Richmond,-B.C.",Cinnabon,Vancouver International Airport (HMS Host),"Richmond, B.C.",British Columbia,V5S 3V5,49.1950479,-123.1794404,,"bakery, store, food, point_of_interest, establishment"
840640,Cinnabon-Dartmouth,Cinnabon,Mic Mac Mall,Dartmouth,Nova Scotia,B3A 4N3,44.6864654,-63.5598642,4.7,"bakery, store, food, point_of_interest, establishment"
840641,Cinnabon-Novia-Scotia,Cinnabon,Halifax,Novia Scotia,Nova Scotia,B3L 4N9,44.6488055,-63.6186784,,"bakery, store, food, point_of_interest, establishment"
840651,Cinnabon-Brampton,Cinnabon,499 Main Street South,Brampton,Ontario,L6Y 2N5,43.6661412,-79.7375339,4.4,"bakery, store, food, point_of_interest, establishment"
840650,Cinnabon-Etobicoke,Cinnabon,500 Rexdale Blvd.,Etobicoke,Ontario,M9W 6K5,43.7206319,-79.6000253,4.1,"bakery, store, food, point_of_interest, establishment"
840265,Cinnabon-Hamilton,Cinnabon bakery,999 Upper Wentworth St.,Hamilton,Ontario,L9A 4X5,43.2177266,-79.8613787,3.7,"bakery, store, food, point_of_interest, establishment"
840652,Cinnabon-Kitchener,Cinnabon,Fairview Mall,Kitchener,Ontario,N1R 1V7,43.4242462,-80.4392455,3.4,"bakery, store, food, point_of_interest, establishment"
840655,Cinnabon-London,Cinnabon,1680 Richmond St. North,London,Ontario,N6G 3Y9,43.025599,-81.2783801,3.7,"bakery, store, food, point_of_interest, establishment"
840654,Cinnabon-London,Cinnabon,1105 Wellington Road,London,Ontario,N6E 1V4,42.9315865,-81.2246887,4.3,"bakery, store, food, point_of_interest, establishment"
840649,Cinnabon-Markham,Cinnabon,5000 Highway #7 East,Markham,Ontario,L3R 4M9,43.8667278,-79.2881438,4.1,"bakery, store, food, point_of_interest, establishment"
840267,Cinnabon-Mississauga,Cinnabon,1250 S. Service Road,Mississauga,Ontario,L5E 1V4,43.5930256,-79.5689483,3,"store, food, point_of_interest, establishment"
840268,Cinnabon-Mississauga,Cinnabon,100 City Centre Drive,Mississauga,Ontario,L5B 1M3,43.5921575,-79.6391702,4.4,"bakery, store, food, point_of_interest, establishment"
840645,Cinnabon-Orleans,Cinnabon,110 Place d'Orleans Drive,Orleans,Ontario,K1C 2L9,45.4781702,-75.5155527,3.2,"bakery, store, food, point_of_interest, establishment"
840653,Cinnabon-Oshawa,Cinnabon,419 King Street West,Oshawa,Ontario,N1R 1V7,43.8893704,-78.8791525,4.1,"bakery, store, food, point_of_interest, establishment"
840647,Cinnabon-Ottawa,Cinnabon,Bayshore Shopping Center,Ottawa,Ontario,K2B 8C1,45.3471994,-75.8067581,3.9,"bakery, store, food, point_of_interest, establishment"
840646,Cinnabon-Ottawa,Cinnabon,"50 Rideau St., Unit 121",Ottawa,Ontario,K1N 9J7,45.4252795,-75.6929819,5,"bakery, store, food, point_of_interest, establishment"
840648,Cinnabon-Pickering,Cinnabon,1355 Kingston Road,Pickering,Ontario,L1V 1B8,43.8361864,-79.0860415,3.7,"bakery, store, food, point_of_interest, establishment"
840266,Cinnabon-Toronto,Cinnabon,"900 Dufferin Avenue, Unit #432",Toronto,Ontario,M6H 4B1,43.6562242,-79.4355773,4.7,"bakery, cafe, store, food, point_of_interest, establishment"
840269,Cinnabon-Toronto,Cinnabon,"Train Concourse Level, 2200 Yong",Toronto,Ontario,M4S 2C6,43.706106,-79.398461,4.4,"bakery, store, food, point_of_interest, establishment"
840263,Cinnabon-Toronto,Cinnabon,"East Concourse, Lower Level, 61 Fro",Toronto,Ontario,M5J 1E6,43.6451005,-79.3815764,,"bakery, cafe, store, food, point_of_interest, establishment"
840405,Cinnabon-Windsor,Cinnabon,3100 Howard Ave.,Windsor,Ontario,N8X 3Y8,42.2756598,-83.0037396,4.6,"bakery, store, food, point_of_interest, establishment"
840642,Cinnabon-Montreal,Restaurant St Cinnamon,"800 Rue de la Gauchetiere West, Suite",Montreal,Quebec,H5A 1K6,45.500133,-73.5652994,3.5,"bakery, store, food, point_of_interest, establishment"
840643,Cinnabon-Quebec,Restaurant St Cinnamon,Cambridge,Quebec,Quebec,H3A 1B1,45.5024067,-73.5623147,3.5,"bakery, store, food, point_of_interest, establishment"
840644,Cinnabon-Toronto,Cinnabon,College Park Subway Station,Toronto,Quebec,H3A 1B1,43.6613247,-79.3830746,,"bakery, cafe, store, food, point_of_interest, establishment"
496107,Dunkin'-Donuts-Boucherville,Dunkin' Donuts,1555 Boul. Montarville,Boucherville,Quebec,J4B8T3,45.5674892,-73.4058959,,"bakery, store, food, point_of_interest, establishment"
496126,Dunkin'-Donuts-Brossard,Krispy Kreme,7721 Taschereau Blvd,Brossard,Quebec,J4Y1A3,45.454336,-73.4649,4.6,"bakery, store, food, point_of_interest, establishment"
496130,Dunkin'-Donuts-Eustache,Dunkin' Donuts,535  Arthur Sauve Blvd St,Eustache,Quebec,J7P4X4,45.5736115,-73.9128332,,"bakery, store, food, point_of_interest, establishment"
496127,Dunkin'-Donuts-Lachine,Dunkin Donuts,637 32nd Avenue,Lachine,Quebec,H8T3G6,45.4406226,-73.6928122,,"bakery, store, food, point_of_interest, establishment"
496117,Dunkin'-Donuts-Laval,Dunkin Donuts,1845 Rue St-Elzar,Laval,Quebec,H7L3N6,45.5843019,-73.7501269,,"point_of_interest, establishment"
496116,Dunkin'-Donuts-Laval,Dunkin Donuts,2305 Blvd Industriel,Laval,Quebec,H7S1P8,45.581874,-73.7319079,,"point_of_interest, establishment"
496119,Dunkin'-Donuts-Mont-Royal,Baskin Robbins,4060 Ch. De La/Cote-De-Liesse Villa,Mont-Royal,Quebec,H4N2P7,45.5072984,-73.662405,3.9,"store, food, point_of_interest, establishment"
496114,Dunkin'-Donuts-Montreal,Dunkin' Donuts,1 Place Ville-Marie,Montreal,Quebec,H3B3Y1,45.5014758,-73.5692531,4.4,"cafe, bakery, store, restarant, food, point_of_interest, establishment"
496110,Dunkin'-Donuts-Montreal,TROU DE BEIGNE,3000 Rue Masson,Montreal,Quebec,H1Y1X6,45.5486995,-73.5741421,4.5,"bakery, store, food, point_of_interest, establishment"
